16:22:00.177 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.luisgomezcaballero.phoneapp.SmokeTest], using SpringBootContextLoader
16:22:00.181 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.luisgomezcaballero.phoneapp.SmokeTest]: no resource found for suffixes {-context.xml, Context.groovy}.
16:22:00.181 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.luisgomezcaballero.phoneapp.SmokeTest]: SmokeTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16:22:00.184 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.luisgomezcaballero.phoneapp.PhoneappApplication for test class com.luisgomezcaballero.phoneapp.SmokeTest
16:22:00.187 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
16:22:00.188 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@626df173, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@4e030feb, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@2411b935, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@1425e531, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@194e78af, org.springframework.test.context.support.DirtiesContextTestExecutionListener@4fe4503a, org.springframework.test.context.transaction.TransactionalTestExecutionListener@669580e2, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@5d22ed6c, org.springframework.test.context.event.EventPublishingTestExecutionListener@37c37d67, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@5a4b8e25, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@1013871e, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@5a9051fd, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@7614378d, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7028b5cc, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7c0ff7a0]
16:22:00.258 [main] INFO  c.l.phoneapp.SmokeTest - Starting SmokeTest using Java 1.8.0_291 on XPS15-9500 with PID 11664 (started by Luis in C:\Users\Luis\Documents\workspace-spring-tool-suite-4-4.10.0.RELEASE\phoneapp)
16:22:00.259 [main] INFO  c.l.phoneapp.SmokeTest - No active profile set, falling back to default profiles: default
16:22:00.504 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:22:00.517 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 2 JPA repository interfaces.
16:22:00.681 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:22:00.705 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
