16:16:49.718 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.luisgomezcaballero.phoneapp.SmokeTest], using SpringBootContextLoader
16:16:49.721 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.luisgomezcaballero.phoneapp.SmokeTest]: no resource found for suffixes {-context.xml, Context.groovy}.
16:16:49.722 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.luisgomezcaballero.phoneapp.SmokeTest]: SmokeTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
16:16:49.724 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.luisgomezcaballero.phoneapp.PhoneappApplication for test class com.luisgomezcaballero.phoneapp.SmokeTest
16:16:49.727 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
16:16:49.728 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@e60c5a, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@626df173, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@4e030feb, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2411b935, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@1425e531, org.springframework.test.context.support.DirtiesContextTestExecutionListener@194e78af, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4fe4503a, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@669580e2, org.springframework.test.context.event.EventPublishingTestExecutionListener@5d22ed6c, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@37c37d67, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5a4b8e25, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@1013871e, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5a9051fd, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@7614378d, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7028b5cc]
16:16:49.790 [main] INFO  c.l.phoneapp.SmokeTest - Starting SmokeTest using Java 1.8.0_291 on XPS15-9500 with PID 4336 (started by Luis in C:\Users\Luis\Documents\workspace-spring-tool-suite-4-4.10.0.RELEASE\phoneapp)
16:16:49.791 [main] INFO  c.l.phoneapp.SmokeTest - No active profile set, falling back to default profiles: default
16:16:50.006 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
16:16:50.023 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 16 ms. Found 2 JPA repository interfaces.
16:16:50.218 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
16:16:50.236 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-2 - Starting...
